市场,股票代码,股票名称,发行总数(万股),上市价格,每手股数,币种,申购起始,申购结束,上市时间
SH,688077,大地熊,2000,28.07,100,CNY,2020-07-13,2020-07-15,2020-07-22
SZ,300853,申昊科技,2040.7,30.41,100,CNY,2020-07-13,2020-07-15,2020-07-24
SH,688069,德林海,1487,67.20,100,CNY,2020-07-13,2020-07-15,2020-07-22
SZ,300848,美瑞新材,1667,28.18,100,CNY,2020-07-08,2020-07-10,2020-07-20
SH,688580,伟思医疗,1708.67,67.58,100,CNY,2020-07-08,2020-07-10,2020-07-21
SH,688256,寒武纪,4010,64.39,100,CNY,2020-07-08,2020-07-10,2020-07-20
SH,688488,艾迪药业,6000,13.99,100,CNY,2020-07-07,2020-07-09,2020-07-20
SH,688500,慧辰资讯,1856.86,34.21,100,CNY,2020-07-07,2020-07-09,2020-07-16
SH,688981,中芯国际,193846,27.46,100,CNY,2020-07-07,2020-07-09,2020-07-16
SZ,300851,交大思诺,2173.34,28.69,100,CNY,2020-07-06,2020-07-08,2020-07-17
SH,688579,山大地纬,4001,8.12,100,CNY,2020-07-06,2020-07-08,2020-07-17
SH,688567,孚能科技,21413.4,15.90,100,CNY,2020-07-06,2020-07-08,2020-07-17
SH,605108,同庆楼,5000,16.70,100,CNY,2020-07-06,2020-07-08,2020-07-16
SH,688165,埃夫特,13044.7,6.35,100,CNY,2020-07-03,2020-07-05,2020-07-15
SH,688309,恒誉环保,2000.27,24.79,100,CNY,2020-07-03,2020-07-05,2020-07-14
SH,688180,君实生物,8713,55.50,100,CNY,2020-07-02,2020-07-04,2020-07-15
SZ,300850,新强联,2650,19.66,100,CNY,2020-07-02,2020-07-04,2020-07-13
SH,688060,云涌科技,1500,44.47,100,CNY,2020-07-01,2020-07-03,2020-07-10
SZ,300849,锦盛新材,2500,13.99,100,CNY,2020-06-29,2020-07-01,2020-07-10
SH,605199,葫芦娃,4010,5.19,100,CNY,2020-06-29,2020-07-01,2020-07-10
SZ,300852,四会富仕,1416,33.06,100,CNY,2020-06-29,2020-07-01,2020-07-13
SZ,300840,酷特智能,6000,5.94,100,CNY,2020-06-24,2020-06-26,2020-07-08
SH,688027,国盾量子,2000,36.18,100,CNY,2020-06-24,2020-06-26,2020-07-09
SH,688568,中科星图,5500,16.21,100,CNY,2020-06-24,2020-06-26,2020-07-08
SH,688377,迪威尔,4866.7,16.42,100,CNY,2020-06-23,2020-06-25,2020-07-08
SZ,300847,中船汉光,4934,6.94,100,CNY,2020-06-23,2020-06-25,2020-07-09
SZ,300845,捷安高科,2309,17.63,100,CNY,2020-06-22,2020-06-24,2020-07-03
SH,688277,天智航,4190,12.04,100,CNY,2020-06-22,2020-06-24,2020-07-07
SH,688600,皖仪科技,3334,15.50,100,CNY,2020-06-19,2020-06-21,2020-07-03
SZ,300843,胜蓝股份,3723,10.01,100,CNY,2020-06-19,2020-06-21,2020-07-02
SZ,300846,首都在线,5000,3.37,100,CNY,2020-06-18,2020-06-20,2020-07-01
SZ,300839,博汇股份,2600,16.26,100,CNY,2020-06-17,2020-06-19,2020-06-30
SH,688558,国盛智科,3300,17.37,100,CNY,2020-06-17,2020-06-19,2020-06-30
SH,688528,秦川物联,4200,11.33,100,CNY,2020-06-17,2020-06-19,2020-07-01
SH,603087,甘李药业,4020,63.32,100,CNY,2020-06-16,2020-06-18,2020-06-29
SH,600956,新天绿能,13475,3.18,100,CNY,2020-06-12,2020-06-14,2020-06-29
SZ,300824,北鼎股份,5435,5.91,100,CNY,2020-06-10,2020-06-12,2020-06-19
SH,688555,泽达易盛,2078,19.49,100,CNY,2020-06-10,2020-06-12,2020-06-23
SH,688518,联赢激光,7480,7.81,100,CNY,2020-06-10,2020-06-12,2020-06-22
SH,688520,神州细胞,5000,25.64,100,CNY,2020-06-09,2020-06-11,2020-06-22
SZ,300842,帝科股份,2500,15.96,100,CNY,2020-06-09,2020-06-11,2020-06-18
SH,605166,聚合顺,7888.7,7.05,100,CNY,2020-06-08,2020-06-10,2020-06-18
SH,688505,复旦张江,12000,8.95,100,CNY,2020-06-08,2020-06-10,2020-06-19
SH,688106,金宏气体,12108.3,15.48,100,CNY,2020-06-05,2020-06-07,2020-06-16
SZ,300841,康华生物,1500,70.37,100,CNY,2020-06-04,2020-06-06,2020-06-16
SH,688004,博汇科技,1420,28.77,100,CNY,2020-06-03,2020-06-05,2020-06-12
SZ,002989,中天精装,3785,24.52,100,CNY,2020-06-01,2020-06-03,2020-06-10
SH,688599,天合光能,31020,8.16,100,CNY,2020-05-29,2020-05-31,2020-06-10
SZ,300838,浙江力诺,3408.5,10.78,100,CNY,2020-05-27,2020-05-29,2020-06-08
SH,688312,燕麦科技,3587,19.68,100,CNY,2020-05-27,2020-05-29,2020-06-08
SH,688157,松井股份,1990,34.48,100,CNY,2020-05-27,2020-05-29,2020-06-09
SZ,300837,浙矿股份,2500,17.57,100,CNY,2020-05-26,2020-05-28,2020-06-05
SZ,002986,宇新股份,2834,39.99,100,CNY,2020-05-21,2020-05-23,2020-06-02
SH,688360,德马科技,2141.92,25.12,100,CNY,2020-05-21,2020-05-23,2020-06-02
SH,601827,三峰环境,37826.8,6.84,100,CNY,2020-05-21,2020-05-23,2020-06-05
SH,600918,中泰证券,69686.3,4.38,100,CNY,2020-05-20,2020-05-22,2020-06-03
SH,605288,凯迪股份,1250,92.59,100,CNY,2020-05-20,2020-05-22,2020-06-01
SH,605168,三人行,1726.67,60.62,100,CNY,2020-05-18,2020-05-20,2020-05-28
SZ,300836,佰奥智能,1231.39,28.18,100,CNY,2020-05-18,2020-05-20,2020-05-28
SH,603950,长源东谷,5788.05,15.81,100,CNY,2020-05-14,2020-05-16,2020-05-26
SZ,002990,盛视科技,3156,36.81,100,CNY,2020-05-14,2020-05-16,2020-05-25
SZ,300835,龙磁科技,1767,20.00,100,CNY,2020-05-14,2020-05-16,2020-05-25
SH,688516,奥特维,2467,23.28,100,CNY,2020-05-12,2020-05-14,2020-05-21
SH,605001,威奥股份,7556,16.14,100,CNY,2020-05-11,2020-05-13,2020-05-22
SZ,300833,浩洋股份,2108.2,52.09,100,CNY,2020-05-08,2020-05-10,2020-05-20
SZ,002988,豪美新材,5821.41,10.94,100,CNY,2020-05-07,2020-05-09,2020-05-18
SH,688598,金博股份,2000,47.20,100,CNY,2020-05-06,2020-05-08,2020-05-18
SH,688566,吉贝尔,4673.54,23.69,100,CNY,2020-05-06,2020-05-08,2020-05-18
SH,601778,晶科科技,59459.3,4.37,100,CNY,2020-05-06,2020-05-08,2020-05-19
SZ,300832,新产业,4120,31.39,100,CNY,2020-04-28,2020-04-30,2020-05-12
SH,688588,凌志软件,4001,11.49,100,CNY,2020-04-24,2020-04-26,2020-05-11
SZ,002987,京北方,4017,23.04,100,CNY,2020-04-23,2020-04-25,2020-05-07
SH,688466,金科环境,2569,24.61,100,CNY,2020-04-23,2020-04-25,2020-05-08
SZ,300831,派瑞股份,8000,3.98,100,CNY,2020-04-22,2020-04-24,2020-05-07
SZ,300830,金现代,8602.5,4.40,100,CNY,2020-04-20,2020-04-22,2020-05-06
SH,688365,光云科技,4010,10.80,100,CNY,2020-04-20,2020-04-22,2020-04-29
SH,603212,赛伍技术,4001,10.46,100,CNY,2020-04-20,2020-04-22,2020-04-30
SZ,002983,芯瑞达,3542,12.97,100,CNY,2020-04-16,2020-04-18,2020-04-28
SZ,002985,北摩高科,3754,22.53,100,CNY,2020-04-16,2020-04-18,2020-04-29
SH,603439,贵州三力,4074,7.35,100,CNY,2020-04-16,2020-04-18,2020-04-28
SH,603392,万泰生物,4360,8.75,100,CNY,2020-04-15,2020-04-17,2020-04-29
SZ,002982,湘佳股份,2563,29.63,100,CNY,2020-04-15,2020-04-17,2020-04-24
SH,688318,财富趋势,1667,107.41,100,CNY,2020-04-15,2020-04-17,2020-04-27
SZ,300829,金丹科技,2830,22.53,100,CNY,2020-04-13,2020-04-15,2020-04-22
SH,601609,金田铜业,24200,6.55,100,CNY,2020-04-10,2020-04-12,2020-04-22
SZ,300828,锐新科技,2757,12.26,100,CNY,2020-04-09,2020-04-11,2020-04-21
SH,688126,沪硅产业,62006.8,3.89,100,CNY,2020-04-09,2020-04-11,2020-04-20
SH,603682,锦和商业,9450,7.91,100,CNY,2020-04-09,2020-04-11,2020-04-21
SZ,002978,安宁股份,4060,27.47,100,CNY,2020-04-08,2020-04-10,2020-04-17
SZ,002981,朝阳科技,2400,17.32,100,CNY,2020-04-08,2020-04-10,2020-04-17
SH,603095,越剑智能,3300,26.16,100,CNY,2020-04-02,2020-04-04,2020-04-15
SH,688222,成都先导,4068,20.52,100,CNY,2020-04-01,2020-04-03,2020-04-16
SZ,002980,华盛昌,3333.34,14.89,100,CNY,2020-03-31,2020-04-02,2020-04-15
SZ,300827,上能电气,1833.36,21.64,100,CNY,2020-03-31,2020-04-02,2020-04-10
SH,688096,京源环保,2683,14.34,100,CNY,2020-03-27,2020-03-29,2020-04-09
SH,688085,三友医疗,5133.35,20.96,100,CNY,2020-03-26,2020-03-28,2020-04-09
SZ,002979,雷赛智能,5200,9.80,100,CNY,2020-03-26,2020-03-28,2020-04-08
SH,603353,和顺石油,3338,27.79,100,CNY,2020-03-25,2020-03-27,2020-04-07
SZ,300826,测绘股份,2000,22.88,100,CNY,2020-03-25,2020-03-27,2020-04-03
SZ,300825,阿尔特,7641.5,6.14,100,CNY,2020-03-18,2020-03-20,2020-03-27
SH,688228,开普云,1678.34,59.26,100,CNY,2020-03-17,2020-03-19,2020-03-27
SH,688189,南新制药,3500,34.94,100,CNY,2020-03-16,2020-03-18,2020-03-26
SH,603221,爱丽家居,6000,12.90,100,CNY,2020-03-11,2020-03-13,2020-03-23
SH,688051,佳华科技,1933.4,50.81,100,CNY,2020-03-10,2020-03-12,2020-03-20
SZ,300823,建科机械,2340,16.58,100,CNY,2020-03-10,2020-03-12,2020-03-19
SZ,002977,天箭科技,1790,29.98,100,CNY,2020-03-05,2020-03-07,2020-03-17
SZ,300822,贝仕达克,2667,23.57,100,CNY,2020-03-04,2020-03-06,2020-03-13
SZ,300819,聚杰微纤,2487,15.07,100,CNY,2020-03-03,2020-03-05,2020-03-12
SZ,300821,东岳硅材,30000,6.90,100,CNY,2020-03-03,2020-03-05,2020-03-12
SH,603949,雪龙集团,3747,12.66,100,CNY,2020-02-27,2020-02-29,2020-03-10
SZ,002976,瑞玛工业,2500,19.01,100,CNY,2020-02-26,2020-02-28,2020-03-06
SH,603948,建业股份,4000,14.25,100,CNY,2020-02-19,2020-02-21,2020-03-02
SH,688086,紫晶存储,4759.61,21.49,100,CNY,2020-02-17,2020-02-19,2020-02-26
SH,601696,中银证券,27800,5.47,100,CNY,2020-02-13,2020-02-15,2020-02-26
SH,603719,良品铺子,4100,11.90,100,CNY,2020-02-12,2020-02-14,2020-02-24
SH,688396,华润微,33694.3,12.80,100,CNY,2020-02-12,2020-02-14,2020-02-27
SH,688177,百奥泰,6000,32.76,100,CNY,2020-02-11,2020-02-13,2020-02-21
SH,688169,石头科技,1666.67,271.12,100,CNY,2020-02-11,2020-02-13,2020-02-21
SH,688233,神工股份,4000,21.67,100,CNY,2020-02-11,2020-02-13,2020-02-21
SH,688200,华峰测控,1529.63,107.41,100,CNY,2020-02-07,2020-02-09,2020-02-18
SZ,300817,双飞股份,2106,18.37,100,CNY,2020-02-06,2020-02-08,2020-02-18
SH,688090,瑞松科技,1684.01,27.55,100,CNY,2020-02-05,2020-02-07,2020-02-17
SH,688208,道通科技,5000,24.36,100,CNY,2020-02-04,2020-02-06,2020-02-13
SZ,300820,英杰电气,1584,33.66,100,CNY,2020-02-04,2020-02-06,2020-02-13
SZ,300818,耐普矿机,1750,21.14,100,CNY,2020-02-03,2020-02-05,2020-02-12
SH,688398,赛特新材,2000,24.12,100,CNY,2020-01-22,2020-01-24,2020-02-11
SH,688080,映翰通,1310.72,27.63,100,CNY,2020-01-22,2020-01-24,2020-02-12
SH,688186,广大特材,4180,17.16,100,CNY,2020-01-21,2020-01-23,2020-02-11
SH,603893,瑞芯微,4200,9.68,100,CNY,2020-01-20,2020-01-22,2020-02-07
