股票市场,股票代码,股票名称,停复牌状态,停牌价格,复牌价格,币种,停牌開始,复牌開始,停盘原因
HK,02213,益華控股,停牌,0.1,,HKD,2020-08-18 15:33:59,,停牌重要公告
HK,00678,雲頂香港,停牌,0.48,,HKD,2020-08-18 09:11:33,,停牌重要公告
HK,08510,Top Standard Corp,復牌,,0.096,HKD,,2020-08-18 08:50:58,復牌重要公告
HK,01539,滙能集團,復牌,,0.147,HKD,,2020-08-18 08:50:58,復牌重要公告
HK,01539,滙能集團,停牌,0.147,,HKD,2020-08-17 09:11:51,,停牌重要公告
HK,01894,恒益控股,復牌,,3.1,HKD,,2020-08-17 08:51:22,復牌重要公告
HK,08283,正力控股,停牌,0.227,,HKD,2020-08-17 08:50:55,,停牌重要公告
HK,08510,Top Standard Corp,停牌,0.096,,HKD,2020-08-17 08:50:55,,停牌重要公告
HK,08351,俊文寶石,停牌,0.01,,HKD,2020-08-17 08:50:11,,停牌重要公告
HK,01878,南戈壁－Ｓ,停牌,0.5,,HKD,2020-08-17 08:50:11,,停牌重要公告
HK,08266,卓信國際控股,停牌,0.183,,HKD,2020-08-17 08:50:11,,停牌重要公告
HK,00204,中國投資開發,復牌,,0.118,HKD,,2020-08-14 08:49:40,復牌重要公告
HK,01576,齊魯高速,復牌,,1.71,HKD,,2020-08-13 08:49:28,復牌重要公告
HK,01894,恒益控股,停牌,3.1,,HKD,2020-08-13 08:48:37,,停牌重要公告
HK,01576,齊魯高速,停牌,1.71,,HKD,2020-08-12 08:53:47,,停牌重要公告
HK,08088,滙友生命科學,復牌,,0.039,HKD,,2020-08-07 08:54:32,復牌重要公告
HK,01151,依利安達,停牌,17.7,,HKD,2020-08-07 08:54:03,,停牌重要公告
HK,08088,滙友生命科學,停牌,0.039,,HKD,2020-08-06 08:50:44,,停牌重要公告
HK,08088,滙友生命科學,復牌,,0.044,HKD,,2020-08-05 08:53:07,復牌重要公告
HK,01125,麗豐控股,復牌,,8.93,HKD,,2020-08-05 08:49:20,復牌重要公告
HK,00033,安山金控,停牌,0.093,,HKD,2020-08-03 08:50:26,,停牌重要公告
HK,08088,滙友生命科學,停牌,0.044,,HKD,2020-08-03 08:50:26,,停牌重要公告
HK,01041,林達控股,停牌,0.043,,HKD,2020-08-03 08:49:34,,停牌重要公告
HK,01169,海爾電器,復牌,,26.85,HKD,,2020-08-03 08:48:05,復牌重要公告
HK,08228,國藝娛樂,復牌,,0.185,HKD,,2020-07-31 08:48:02,復牌重要公告
HK,00169,萬達酒店發展,復牌,,0.265,HKD,,2020-07-30 08:51:09,復牌重要公告
HK,01990,興華港口,復牌,,2.1,HKD,,2020-07-30 08:51:09,復牌重要公告
HK,08228,國藝娛樂,復牌,,0.185,HKD,,2020-07-30 08:51:09,復牌重要公告
HK,01335,順泰控股,復牌,,0.1,HKD,,2020-07-30 08:51:09,復牌重要公告
HK,08001,東方匯財證券,停牌,0.22,,HKD,2020-07-30 08:48:02,,停牌重要公告
HK,01169,海爾電器,停牌,26.85,,HKD,2020-07-30 08:47:15,,停牌重要公告
HK,02183,三盛控股,復牌,,6.75,HKD,,2020-07-29 12:42:43,復牌重要公告
HK,02183,三盛控股,停牌,6.75,,HKD,2020-07-29 09:03:11,,停牌重要公告
HK,00530,高銀金融,復牌,,1.15,HKD,,2020-07-29 08:53:04,復牌重要公告
HK,00530,高銀金融,停牌,1.15,,HKD,2020-07-28 08:47:05,,停牌重要公告
HK,00169,萬達酒店發展,停牌,0.265,,HKD,2020-07-27 08:48:57,,停牌重要公告
HK,01990,興華港口,停牌,2.1,,HKD,2020-07-24 12:40:54,,停牌重要公告
HK,01151,依利安達,復牌,,17.92,HKD,,2020-07-24 08:45:03,復牌重要公告
HK,00530,高銀金融,復牌,,0.99,HKD,,2020-07-24 08:45:03,復牌重要公告
HK,01235,專業旅運,復牌,,0.17,HKD,,2020-07-24 08:45:03,復牌重要公告
HK,01151,依利安達,停牌,17.92,,HKD,2020-07-23 08:52:10,,停牌重要公告
HK,01235,專業旅運,停牌,0.17,,HKD,2020-07-23 08:52:10,,停牌重要公告
HK,01492,中地乳業,復牌,,0.63,HKD,,2020-07-23 08:50:31,復牌重要公告
HK,01492,中地乳業,停牌,0.63,,HKD,2020-07-22 13:10:01,,停牌重要公告
HK,01241,雙樺控股,復牌,,0.07,HKD,,2020-07-21 12:37:36,復牌重要公告
HK,00699,神州租車,復牌,,2.93,HKD,,2020-07-21 08:49:11,復牌重要公告
HK,01241,雙樺控股,停牌,0.07,,HKD,2020-07-21 08:48:27,,停牌重要公告
HK,00699,神州租車,停牌,2.93,,HKD,2020-07-20 12:41:15,,停牌重要公告
HK,00639,首鋼資源,復牌,,1.83,HKD,,2020-07-20 08:50:44,復牌重要公告
HK,00985,中譽集團,復牌,,0.025,HKD,,2020-07-20 08:49:01,復牌重要公告
